Date|Active Users|Favorites|Total Visits|Voice Chat|Camera|Date Created|Last Updated|Server Size|Genre|Title|Creator|Age Recommendation|gameID|Category|URL
2024-11-02 23:05:09|759113|22155283|55.8B+|Not Supported|Not Supported|4/21/2020|11/1/2024|22|Roleplay & Avatar Sim|Brookhaven 🏡RP|@Wolfpaq|All Ages|4924922222|Trending Music Experiences|https://www.roblox.com/games/4924922222/Brookhaven-RP?appliedFilters=device%253Dall%252Cage%253Dall%252Ccountry%253Dall&discoverPageSessionInfo=a3919ae2-73d3-4499-a6d3-dc18ba62f568&gameSetTargetId=216&gameSetTypeId=23&isAd=false&nativeAdData=&numberOfLoadedTiles=54&page=gamesPage&placeId=4924922222&playContext=gamesPage&position=7&sortPos=5&universeId=1686885941
2024-11-02 23:05:12|13492|12505682|4.9B+|Not Supported|Not Supported|3/29/2008|11/2/2024|12|Roleplay & Avatar Sim|🍕Work at a Pizza Place|@Dued1|All Ages|-|Trending Music Experiences|https://www.roblox.com/games/192800/Work-at-a-Pizza-Place?appliedFilters=device%253Dall%252Cage%253Dall%252Ccountry%253Dall&discoverPageSessionInfo=a3919ae2-73d3-4499-a6d3-dc18ba62f568&gameSetTargetId=216&gameSetTypeId=23&isAd=false&nativeAdData=&numberOfLoadedTiles=54&page=gamesPage&placeId=192800&playContext=gamesPage&position=36&sortPos=5&universeId=47545
2024-11-02 23:05:16|233300|217450|195.8M+|Not Supported|Not Supported|8/11/2024|11/2/2024|8|N/A|PETS GO! ✨ [NEW]|BIG Games Pets|All Ages|18901165922|Trending Music Experiences|https://www.roblox.com/games/18901165922/PETS-GO-NEW?appliedFilters=device%253Dall%252Cage%253Dall%252Ccountry%253Dall&discoverPageSessionInfo=a3919ae2-73d3-4499-a6d3-dc18ba62f568&gameSetTargetId=216&gameSetTypeId=23&isAd=false&nativeAdData=&numberOfLoadedTiles=54&page=gamesPage&placeId=18901165922&playContext=gamesPage&position=1&sortPos=5&universeId=6401952734
2024-11-02 23:05:20|32446|13560547|9.0B+|Not Supported|Not Supported|11/4/2014|10/25/2024|12|Roleplay & Avatar Sim|Welcome to Bloxburg|Bloxburg Development|All Ages|185655149|Trending Music Experiences|https://www.roblox.com/games/185655149/Welcome-to-Bloxburg?appliedFilters=device%253Dall%252Cage%253Dall%252Ccountry%253Dall&discoverPageSessionInfo=a3919ae2-73d3-4499-a6d3-dc18ba62f568&gameSetTargetId=216&gameSetTypeId=23&isAd=false&nativeAdData=&numberOfLoadedTiles=54&page=gamesPage&placeId=185655149&playContext=gamesPage&position=10&sortPos=5&universeId=88070565
2024-11-02 23:05:24|81675|1492200|1.5B+|Not Supported|Not Supported|2/5/2022|11/2/2024|10|Simulation|Pet Simulator 99! 🎃|BIG Games Pets|All Ages|8737899170|Trending Music Experiences|https://www.roblox.com/games/8737899170/Pet-Simulator-99?appliedFilters=device%253Dall%252Cage%253Dall%252Ccountry%253Dall&discoverPageSessionInfo=a3919ae2-73d3-4499-a6d3-dc18ba62f568&gameSetTargetId=216&gameSetTypeId=23&isAd=false&nativeAdData=&numberOfLoadedTiles=54&page=gamesPage&placeId=8737899170&playContext=gamesPage&position=6&sortPos=5&universeId=3317771874
2024-11-02 23:05:29|28929|13663895|1.6B+|Not Supported|Not Supported|6/23/2019|11/2/2024|25|Simulation|[🎃 EVENT] Driving Empire 🏎️ Car Racing|Driving Empire by Voldex|All Ages|3351674303|Trending Music Experiences|https://www.roblox.com/games/3351674303/EVENT-Driving-Empire-Car-Racing?appliedFilters=device%253Dall%252Cage%253Dall%252Ccountry%253Dall&discoverPageSessionInfo=a3919ae2-73d3-4499-a6d3-dc18ba62f568&gameSetTargetId=216&gameSetTypeId=23&isAd=false&nativeAdData=&numberOfLoadedTiles=54&page=gamesPage&placeId=3351674303&playContext=gamesPage&position=15&sortPos=5&universeId=1202096104
2024-11-02 23:05:33|5611|3843861|258.3M+|Not Supported|Not Supported|8/25/2022|11/2/2024|30|Simulation|🎃MONSTER TRUCK Drive World 🏎️ Drifting & Racing|Drive World  Twin Atlas|All Ages|10704789056|Trending Music Experiences|https://www.roblox.com/games/10704789056/MONSTER-TRUCK-Drive-World-Drifting-Racing?appliedFilters=device%253Dall%252Cage%253Dall%252Ccountry%253Dall&discoverPageSessionInfo=a3919ae2-73d3-4499-a6d3-dc18ba62f568&gameSetTargetId=216&gameSetTypeId=23&isAd=false&nativeAdData=&numberOfLoadedTiles=54&page=gamesPage&placeId=10704789056&playContext=gamesPage&position=49&sortPos=5&universeId=3876150506
2024-11-02 23:05:37|41564|3433104|2.8B+|Not Supported|Not Supported|7/4/2021|11/2/2024|24|Shopping|Catalog Avatar Creator|@ItsMuneeeb|All Ages|7041939546|Trending Music Experiences|https://www.roblox.com/games/7041939546/Catalog-Avatar-Creator?appliedFilters=device%253Dall%252Cage%253Dall%252Ccountry%253Dall&discoverPageSessionInfo=a3919ae2-73d3-4499-a6d3-dc18ba62f568&gameSetTargetId=216&gameSetTypeId=23&isAd=false&nativeAdData=&numberOfLoadedTiles=54&page=gamesPage&placeId=7041939546&playContext=gamesPage&position=5&sortPos=5&universeId=2711375305
2024-11-02 23:05:40|23749|679049|1.0B+|Not Supported|Not Supported|2/2/2023|10/28/2024|41|Action|Murderers VS Sheriffs Duels|Red21 Games|All Ages|12355337193|Trending Music Experiences|https://www.roblox.com/games/12355337193/Murderers-VS-Sheriffs-Duels?appliedFilters=device%253Dall%252Cage%253Dall%252Ccountry%253Dall&discoverPageSessionInfo=a3919ae2-73d3-4499-a6d3-dc18ba62f568&gameSetTargetId=216&gameSetTypeId=23&isAd=false&nativeAdData=&numberOfLoadedTiles=54&page=gamesPage&placeId=12355337193&playContext=gamesPage&position=22&sortPos=5&universeId=4348829796
2024-11-02 23:05:46|4029|1520070|40.6M+|Not Supported|Not Supported|1/6/2024|11/2/2024|12|Simulation|[UPD] Eat Slimes to Grow HUGE|Banana Studios Games|All Ages|15885874861|Trending Music Experiences|https://www.roblox.com/games/15885874861/UPD-Eat-Slimes-to-Grow-HUGE?appliedFilters=device%253Dall%252Cage%253Dall%252Ccountry%253Dall&discoverPageSessionInfo=a3919ae2-73d3-4499-a6d3-dc18ba62f568&gameSetTargetId=216&gameSetTypeId=23&isAd=false&nativeAdData=&numberOfLoadedTiles=54&page=gamesPage&placeId=15885874861&playContext=gamesPage&position=46&sortPos=5&universeId=5493012775
