Date|Active Users|Favorites|Total Visits|Voice Chat|Camera|Date Created|Last Updated|Server Size|Genre|Title|Creator|Age Recommendation|gameID|Category|URL
2024-11-02 22:39:37|23642|679030|1.0B+|Not Supported|Not Supported|2/2/2023|10/28/2024|41|Action|Murderers VS Sheriffs Duels|Red21 Games|All Ages|12355337193|Top Revisited|https://www.roblox.com/games/12355337193/Murderers-VS-Sheriffs-Duels?appliedFilters=device%253Dall%252Cage%253Dall%252Ccountry%253Dall&discoverPageSessionInfo=f3c5f034-ddeb-4f6f-9221-cca1302010fe&gameSetTargetId=216&gameSetTypeId=23&isAd=false&nativeAdData=&numberOfLoadedTiles=54&page=gamesPage&placeId=12355337193&playContext=gamesPage&position=22&sortPos=5&universeId=4348829796
2024-11-02 22:39:43|27875|3782608|380.9M+|Not Supported|Not Supported|5/11/2024|10/28/2024|8|Simulation|Gym League 🎃|1v2 Studios|All Ages|17450551531|Top Revisited|https://www.roblox.com/games/17450551531/Gym-League?appliedFilters=device%253Dall%252Cage%253Dall%252Ccountry%253Dall&discoverPageSessionInfo=f3c5f034-ddeb-4f6f-9221-cca1302010fe&gameSetTargetId=216&gameSetTypeId=23&isAd=false&nativeAdData=&numberOfLoadedTiles=54&page=gamesPage&placeId=17450551531&playContext=gamesPage&position=32&sortPos=5&universeId=5972059550
2024-11-02 22:39:47|28688|13662749|1.6B+|Not Supported|Not Supported|6/23/2019|11/2/2024|25|Simulation|[🎃 EVENT] Driving Empire 🏎️ Car Racing|Driving Empire by Voldex|All Ages|3351674303|Top Revisited|https://www.roblox.com/games/3351674303/EVENT-Driving-Empire-Car-Racing?appliedFilters=device%253Dall%252Cage%253Dall%252Ccountry%253Dall&discoverPageSessionInfo=f3c5f034-ddeb-4f6f-9221-cca1302010fe&gameSetTargetId=216&gameSetTypeId=23&isAd=false&nativeAdData=&numberOfLoadedTiles=54&page=gamesPage&placeId=3351674303&playContext=gamesPage&position=15&sortPos=5&universeId=1202096104
2024-11-02 22:39:50|38931|7641398|4.1B+|Not Supported|Not Supported|11/2/2016|3/1/2024|7|Simulation|Build A Boat For Treasure|Chillz Studios|All Ages|537413528|Top Revisited|https://www.roblox.com/games/537413528/Build-A-Boat-For-Treasure?appliedFilters=device%253Dall%252Cage%253Dall%252Ccountry%253Dall&discoverPageSessionInfo=f3c5f034-ddeb-4f6f-9221-cca1302010fe&gameSetTargetId=216&gameSetTypeId=23&isAd=false&nativeAdData=&numberOfLoadedTiles=54&page=gamesPage&placeId=537413528&playContext=gamesPage&position=26&sortPos=5&universeId=210851291
2024-11-02 22:39:56|3506|738918|276.3M+|Not Supported|Not Supported|8/2/2023|11/2/2024|50|Strategy|[CURSED SEASON] Skibi Defense|Archkos Studios|All Ages|14279693118|Top Revisited|https://www.roblox.com/games/14279693118/CURSED-SEASON-Skibi-Defense?appliedFilters=device%253Dall%252Cage%253Dall%252Ccountry%253Dall&discoverPageSessionInfo=f3c5f034-ddeb-4f6f-9221-cca1302010fe&gameSetTargetId=216&gameSetTypeId=23&isAd=false&nativeAdData=&numberOfLoadedTiles=54&page=gamesPage&placeId=14279693118&playContext=gamesPage&position=48&sortPos=5&universeId=4938220315
2024-11-02 22:40:01|63361|1123704|5.0B+|Not Supported|Not Supported|6/17/2023|11/1/2024|30|Strategy|[⏳] Toilet Tower Defense|Telanthric Development|All Ages|13775256536|Top Revisited|https://www.roblox.com/games/13775256536/Toilet-Tower-Defense?appliedFilters=device%253Dall%252Cage%253Dall%252Ccountry%253Dall&discoverPageSessionInfo=f3c5f034-ddeb-4f6f-9221-cca1302010fe&gameSetTargetId=216&gameSetTypeId=23&isAd=false&nativeAdData=&numberOfLoadedTiles=54&page=gamesPage&placeId=13775256536&playContext=gamesPage&position=9&sortPos=5&universeId=4778845442
2024-11-02 22:40:04|13689|13222822|10.0B+|Not Supported|Not Supported|4/10/2017|11/2/2024|16|Roleplay & Avatar Sim|Royale🎃High|@callmehbob|All Ages|735030788|Top Revisited|https://www.roblox.com/games/735030788/Royale-High?appliedFilters=device%253Dall%252Cage%253Dall%252Ccountry%253Dall&discoverPageSessionInfo=f3c5f034-ddeb-4f6f-9221-cca1302010fe&gameSetTargetId=216&gameSetTypeId=23&isAd=false&nativeAdData=&numberOfLoadedTiles=54&page=gamesPage&placeId=735030788&playContext=gamesPage&position=37&sortPos=5&universeId=321778215
2024-11-02 22:40:11|6675|509481|428.3M+|Not Supported|Not Supported|6/23/2021|10/31/2024|25|Roleplay & Avatar Sim|🎃🍂 Wild Horse Islands|Happy Acres|All Ages|6989310863|Top Revisited|https://www.roblox.com/games/6989310863/Wild-Horse-Islands?appliedFilters=device%253Dall%252Cage%253Dall%252Ccountry%253Dall&discoverPageSessionInfo=f3c5f034-ddeb-4f6f-9221-cca1302010fe&gameSetTargetId=216&gameSetTypeId=23&isAd=false&nativeAdData=&numberOfLoadedTiles=54&page=gamesPage&placeId=6989310863&playContext=gamesPage&position=40&sortPos=5&universeId=2682938349
2024-11-02 22:40:15|101438|2319007|4.5B+|Not Supported|Not Supported|1/8/2022|11/2/2024|30|Roleplay & Avatar Sim|Berry Avenue 🏠 RP|Amberry Games|All Ages|8481844229|Top Revisited|https://www.roblox.com/games/8481844229/Berry-Avenue-RP?appliedFilters=device%253Dall%252Cage%253Dall%252Ccountry%253Dall&discoverPageSessionInfo=f3c5f034-ddeb-4f6f-9221-cca1302010fe&gameSetTargetId=216&gameSetTypeId=23&isAd=false&nativeAdData=&numberOfLoadedTiles=54&page=gamesPage&placeId=8481844229&playContext=gamesPage&position=25&sortPos=5&universeId=3240075297
2024-11-02 22:40:18|92904|598155|580.6M+|Not Supported|Not Supported|1/28/2024|11/2/2024|24|Strategy|[UPDATE 1] Anime Vanguards|Kitawari|All Ages|16146832113|Top Revisited|https://www.roblox.com/games/16146832113/UPDATE-1-Anime-Vanguards?appliedFilters=device%253Dall%252Cage%253Dall%252Ccountry%253Dall&discoverPageSessionInfo=f3c5f034-ddeb-4f6f-9221-cca1302010fe&gameSetTargetId=216&gameSetTypeId=23&isAd=false&nativeAdData=&numberOfLoadedTiles=54&page=gamesPage&placeId=16146832113&playContext=gamesPage&position=2&sortPos=5&universeId=5578556129
