Date|Active Users|Favorites|Total Visits|Voice Chat|Camera|Date Created|Last Updated|Server Size|Genre|Title|Creator|Age Recommendation|gameID|Category|URL
2024-11-02 23:44:06|4239|325537|131.2M+|Not Supported|Not Supported|5/12/2022|11/2/2024|15|Simulation|[RNG] 🎃 Bid Battles!|Absolute Zero!|All Ages|9603033881|Trending in Shopping|https://www.roblox.com/games/9603033881/RNG-Bid-Battles?appliedFilters=device%253Dall%252Cage%253Dall%252Ccountry%253Dall&discoverPageSessionInfo=5d389cff-c262-4e3e-9818-331956283d06&gameSetTargetId=216&gameSetTypeId=23&isAd=false&nativeAdData=&numberOfLoadedTiles=54&page=gamesPage&placeId=9603033881&playContext=gamesPage&position=51&sortPos=5&universeId=3573098848
2024-11-02 23:44:11|1080|99055|52.8M+|Not Supported|Not Supported|9/20/2024|11/2/2024|20|Entertainment|The Haunt|Roblox Presents|All Ages|82695214392018|Trending in Shopping|https://www.roblox.com/games/82695214392018/The-Haunt?appliedFilters=device%253Dall%252Cage%253Dall%252Ccountry%253Dall&discoverPageSessionInfo=5d389cff-c262-4e3e-9818-331956283d06&gameSetTargetId=216&gameSetTypeId=23&isAd=false&nativeAdData=&numberOfLoadedTiles=54&page=gamesPage&placeId=82695214392018&playContext=gamesPage&position=19&sortPos=5&universeId=6574756904
2024-11-02 23:44:15|28840|282522|509.6M+|Not Supported|Not Supported|3/25/2023|11/1/2024|26|Strategy|[👻EVENT + ⚔️CLAN WARS + x4] Anime Last Stand|[B:S] ALS Team|All Ages|12886143095|Trending in Shopping|https://www.roblox.com/games/12886143095/EVENT-CLAN-WARS-x4-Anime-Last-Stand?appliedFilters=device%253Dall%252Cage%253Dall%252Ccountry%253Dall&discoverPageSessionInfo=5d389cff-c262-4e3e-9818-331956283d06&gameSetTargetId=216&gameSetTypeId=23&isAd=false&nativeAdData=&numberOfLoadedTiles=54&page=gamesPage&placeId=12886143095&playContext=gamesPage&position=13&sortPos=5&universeId=4509896324
2024-11-02 23:44:20|23047|539744|313.1M+|Not Supported|Not Supported|9/12/2018|11/2/2024|10|Sports & Racing|[🎃] NFL Universe Football|NFL Universe Football by Voldex|All Ages|2338325648|Trending in Shopping|https://www.roblox.com/games/2338325648/NFL-Universe-Football?appliedFilters=device%253Dall%252Cage%253Dall%252Ccountry%253Dall&discoverPageSessionInfo=5d389cff-c262-4e3e-9818-331956283d06&gameSetTargetId=216&gameSetTypeId=23&isAd=false&nativeAdData=&numberOfLoadedTiles=54&page=gamesPage&placeId=2338325648&playContext=gamesPage&position=12&sortPos=5&universeId=184199275
2024-11-02 23:44:25|8241|357636|353.7M+|Not Supported|Not Supported|7/31/2023|11/2/2024|10|Sports & Racing|[2X]🎃Basketball Legends🎃|InfinitySports|All Ages|14259168147|Trending in Shopping|https://www.roblox.com/games/14259168147/2X-Basketball-Legends?appliedFilters=device%253Dall%252Cage%253Dall%252Ccountry%253Dall&discoverPageSessionInfo=5d389cff-c262-4e3e-9818-331956283d06&gameSetTargetId=216&gameSetTypeId=23&isAd=false&nativeAdData=&numberOfLoadedTiles=54&page=gamesPage&placeId=14259168147&playContext=gamesPage&position=42&sortPos=5&universeId=4931927012
2024-11-02 23:44:29|8117|268560|223.7M+|Not Supported|Not Supported|4/30/2022|11/1/2024|50|Strategy|2X POINTS CHAPTER II🎃 Tower Defense X: BETA|Tower Defense X|All Ages|9503261072|Trending in Shopping|https://www.roblox.com/games/9503261072/2X-POINTS-CHAPTER-II-Tower-Defense-X-BETA?appliedFilters=device%253Dall%252Cage%253Dall%252Ccountry%253Dall&discoverPageSessionInfo=5d389cff-c262-4e3e-9818-331956283d06&gameSetTargetId=216&gameSetTypeId=23&isAd=false&nativeAdData=&numberOfLoadedTiles=54&page=gamesPage&placeId=9503261072&playContext=gamesPage&position=21&sortPos=5&universeId=3541611379
2024-11-02 23:44:32|28469|3782721|381.0M+|Not Supported|Not Supported|5/11/2024|10/28/2024|8|Simulation|Gym League 🎃|1v2 Studios|All Ages|17450551531|Trending in Shopping|https://www.roblox.com/games/17450551531/Gym-League?appliedFilters=device%253Dall%252Cage%253Dall%252Ccountry%253Dall&discoverPageSessionInfo=5d389cff-c262-4e3e-9818-331956283d06&gameSetTargetId=216&gameSetTypeId=23&isAd=false&nativeAdData=&numberOfLoadedTiles=54&page=gamesPage&placeId=17450551531&playContext=gamesPage&position=32&sortPos=5&universeId=5972059550
2024-11-02 23:44:36|10165|5785838|1.3B+|Not Supported|Not Supported|1/2/2012|10/8/2024|6|Simulation|Theme Park Tycoon 2|@Den_S|All Ages|69184822|Trending in Shopping|https://www.roblox.com/games/69184822/Theme-Park-Tycoon-2?appliedFilters=device%253Dall%252Cage%253Dall%252Ccountry%253Dall&discoverPageSessionInfo=5d389cff-c262-4e3e-9818-331956283d06&gameSetTargetId=216&gameSetTypeId=23&isAd=false&nativeAdData=&numberOfLoadedTiles=54&page=gamesPage&placeId=69184822&playContext=gamesPage&position=50&sortPos=5&universeId=31970568
2024-11-02 23:44:41|15199|1213974|543.3M+|Not Supported|Not Supported|8/16/2019|11/2/2024|60|Roleplay & Avatar Sim|Warrior Cats: Ultimate Edition|WarriorCatsRP|All Ages|3663340706|Trending in Shopping|https://www.roblox.com/games/3663340706/Warrior-Cats-Ultimate-Edition?appliedFilters=device%253Dall%252Cage%253Dall%252Ccountry%253Dall&discoverPageSessionInfo=5d389cff-c262-4e3e-9818-331956283d06&gameSetTargetId=216&gameSetTypeId=23&isAd=false&nativeAdData=&numberOfLoadedTiles=54&page=gamesPage&placeId=3663340706&playContext=gamesPage&position=29&sortPos=5&universeId=1278035280
2024-11-02 23:44:45|8299|2309475|1.0B+|Not Supported|Not Supported|6/28/2017|11/2/2024|25|Roleplay & Avatar Sim|(HALLOWEEN EVENT MAP CHANGES + CARS!) Greenville|Greenville Wisconsin|All Ages|891852901|Trending in Shopping|https://www.roblox.com/games/891852901/HALLOWEEN-EVENT-MAP-CHANGES-CARS-Greenville?appliedFilters=device%253Dall%252Cage%253Dall%252Ccountry%253Dall&discoverPageSessionInfo=5d389cff-c262-4e3e-9818-331956283d06&gameSetTargetId=216&gameSetTypeId=23&isAd=false&nativeAdData=&numberOfLoadedTiles=54&page=gamesPage&placeId=891852901&playContext=gamesPage&position=23&sortPos=5&universeId=371263894
