Date|Active Users|Favorites|Total Visits|Voice Chat|Camera|Date Created|Last Updated|Server Size|Genre|Title|Creator|Age Recommendation|gameID|Category|URL
2024-11-02 23:00:45|1340|50619|30.3M+|Not Supported|Not Supported|11/16/2023|10/27/2024|10|Simulation|[🎃HALLOWEEN] Anime Souls Simulator X|Mark-6|All Ages|15367026228|Top Rated|https://www.roblox.com/games/15367026228/HALLOWEEN-Anime-Souls-Simulator-X?appliedFilters=device%253Dall%252Cage%253Dall%252Ccountry%253Dall&discoverPageSessionInfo=7d6845af-5ed1-4ad4-ac97-14354c3bf2ca&gameSetTargetId=204&gameSetTypeId=23&isAd=false&nativeAdData=&numberOfLoadedTiles=50&page=gamesPage&placeId=15367026228&playContext=gamesPage&position=43&sortPos=4&universeId=5300677688
2024-11-02 23:00:51|657|111018|25.7M+|Not Supported|Not Supported|1/20/2020|11/2/2024|50|Roleplay & Avatar Sim|[🎃] Undertale RP: Crossing Timelines|Team Genesis Studios|All Ages|4614624330|Top Rated|https://www.roblox.com/games/4614624330/Undertale-RP-Crossing-Timelines?appliedFilters=device%253Dall%252Cage%253Dall%252Ccountry%253Dall&discoverPageSessionInfo=7d6845af-5ed1-4ad4-ac97-14354c3bf2ca&gameSetTargetId=204&gameSetTypeId=23&isAd=false&nativeAdData=&numberOfLoadedTiles=50&page=gamesPage&placeId=4614624330&playContext=gamesPage&position=46&sortPos=4&universeId=1510657031
2024-11-02 23:00:56|79025|685594|3.0B+|Not Supported|Not Supported|4/5/2024|11/2/2024|30|Strategy|[🎄RED ONE] Anime Defenders|Small World Games x Anime Defenders|All Ages|17017769292|Top Rated|https://www.roblox.com/games/17017769292/RED-ONE-Anime-Defenders?appliedFilters=device%253Dall%252Cage%253Dall%252Ccountry%253Dall&discoverPageSessionInfo=7d6845af-5ed1-4ad4-ac97-14354c3bf2ca&gameSetTargetId=204&gameSetTypeId=23&isAd=false&nativeAdData=&numberOfLoadedTiles=50&page=gamesPage&placeId=17017769292&playContext=gamesPage&position=12&sortPos=4&universeId=5836869368
2024-11-02 23:01:00|3285|738916|276.3M+|Not Supported|Not Supported|8/2/2023|11/2/2024|50|Strategy|[CURSED SEASON] Skibi Defense|Archkos Studios|All Ages|14279693118|Top Rated|https://www.roblox.com/games/14279693118/CURSED-SEASON-Skibi-Defense?appliedFilters=device%253Dall%252Cage%253Dall%252Ccountry%253Dall&discoverPageSessionInfo=7d6845af-5ed1-4ad4-ac97-14354c3bf2ca&gameSetTargetId=204&gameSetTypeId=23&isAd=false&nativeAdData=&numberOfLoadedTiles=50&page=gamesPage&placeId=14279693118&playContext=gamesPage&position=32&sortPos=4&universeId=4938220315
2024-11-02 23:01:07|22721|634805|764.3M+|Not Supported|Not Supported|12/3/2023|11/2/2024|20|Simulation|Sols RNG [Era 9]|sols studio|All Ages|15532962292|Top Rated|https://www.roblox.com/games/15532962292/Sols-RNG-Era-9?appliedFilters=device%253Dall%252Cage%253Dall%252Ccountry%253Dall&discoverPageSessionInfo=7d6845af-5ed1-4ad4-ac97-14354c3bf2ca&gameSetTargetId=204&gameSetTypeId=23&isAd=false&nativeAdData=&numberOfLoadedTiles=50&page=gamesPage&placeId=15532962292&playContext=gamesPage&position=18&sortPos=4&universeId=5361032378
2024-11-02 23:01:11|29210|282512|509.6M+|Not Supported|Not Supported|3/25/2023|11/1/2024|26|Strategy|[👻EVENT + ⚔️CLAN WARS + x4] Anime Last Stand|[B:S] ALS Team|All Ages|12886143095|Top Rated|https://www.roblox.com/games/12886143095/EVENT-CLAN-WARS-x4-Anime-Last-Stand?appliedFilters=device%253Dall%252Cage%253Dall%252Ccountry%253Dall&discoverPageSessionInfo=7d6845af-5ed1-4ad4-ac97-14354c3bf2ca&gameSetTargetId=204&gameSetTypeId=23&isAd=false&nativeAdData=&numberOfLoadedTiles=50&page=gamesPage&placeId=12886143095&playContext=gamesPage&position=0&sortPos=4&universeId=4509896324
2024-11-02 23:01:15|1347|15538|1.8M+|Not Supported|Not Supported|1/19/2023|11/2/2024|8|N/A|Refinery Caves 2 🎃|Ziks Dev Team|All Ages|12196278347|Top Rated|https://www.roblox.com/games/12196278347/Refinery-Caves-2?appliedFilters=device%253Dall%252Cage%253Dall%252Ccountry%253Dall&discoverPageSessionInfo=7d6845af-5ed1-4ad4-ac97-14354c3bf2ca&gameSetTargetId=204&gameSetTypeId=23&isAd=false&nativeAdData=&numberOfLoadedTiles=50&page=gamesPage&placeId=12196278347&playContext=gamesPage&position=22&sortPos=4&universeId=4298676072
2024-11-02 23:01:19|3031|842973|500.3M+|Not Supported|Not Supported|1/16/2022|11/2/2024|12|Simulation|[UPD] Weapon Fighting Simulator [3x🎃]|Lightning Dragon Studio|All Ages|8554378337|Top Rated|https://www.roblox.com/games/8554378337/UPD-Weapon-Fighting-Simulator-3x?appliedFilters=device%253Dall%252Cage%253Dall%252Ccountry%253Dall&discoverPageSessionInfo=7d6845af-5ed1-4ad4-ac97-14354c3bf2ca&gameSetTargetId=204&gameSetTypeId=23&isAd=false&nativeAdData=&numberOfLoadedTiles=50&page=gamesPage&placeId=8554378337&playContext=gamesPage&position=26&sortPos=4&universeId=3262314006
2024-11-02 23:01:25|776|48406|11.5M+|Not Supported|Not Supported|11/8/2023|11/2/2024|30|Simulation|[10M EVENT!] Fortunes End [RNG]|SL Lab|All Ages|15296932900|Top Rated|https://www.roblox.com/games/15296932900/10M-EVENT-Fortunes-End-RNG?appliedFilters=device%253Dall%252Cage%253Dall%252Ccountry%253Dall&discoverPageSessionInfo=7d6845af-5ed1-4ad4-ac97-14354c3bf2ca&gameSetTargetId=204&gameSetTypeId=23&isAd=false&nativeAdData=&numberOfLoadedTiles=50&page=gamesPage&placeId=15296932900&playContext=gamesPage&position=5&sortPos=4&universeId=5275559565
2024-11-02 23:01:29|929|207054|155.9M+|Not Supported|Not Supported|9/25/2020|10/13/2024|150|Strategy|Noobs in Combat v5.6|Scuffed projects|All Ages|5734383673|Top Rated|https://www.roblox.com/games/5734383673/Noobs-in-Combat-v5-6?appliedFilters=device%253Dall%252Cage%253Dall%252Ccountry%253Dall&discoverPageSessionInfo=7d6845af-5ed1-4ad4-ac97-14354c3bf2ca&gameSetTargetId=204&gameSetTypeId=23&isAd=false&nativeAdData=&numberOfLoadedTiles=50&page=gamesPage&placeId=5734383673&playContext=gamesPage&position=39&sortPos=4&universeId=2033000034
