Date|Active Users|Favorites|Total Visits|Voice Chat|Camera|Date Created|Last Updated|Server Size|Genre|Title|Creator|Age Recommendation|gameID|Category|URL
2024-11-02 23:36:46|769435|22155490|55.8B+|Not Supported|Not Supported|4/21/2020|11/1/2024|22|Roleplay & Avatar Sim|Brookhaven 🏡RP|@Wolfpaq|All Ages|4924922222|Trending in Roleplay & Avatar Sim|https://www.roblox.com/games/4924922222/Brookhaven-RP?appliedFilters=device%253Dall%252Cage%253Dall%252Ccountry%253Dall&discoverPageSessionInfo=105056b1-db67-4769-963c-0d1e7436fd02&gameSetTargetId=203&gameSetTypeId=23&isAd=false&nativeAdData=&numberOfLoadedTiles=53&page=gamesPage&placeId=4924922222&playContext=gamesPage&position=9&sortPos=3&universeId=1686885941
2024-11-02 23:36:51|6847|228932|150.4M+|Not Supported|Not Supported|1/25/2023|11/2/2024|30|Social|[ DIVA  + 15] TOD 🎃|OofMayy Studios|All Ages|12262046571|Trending in Roleplay & Avatar Sim|https://www.roblox.com/games/12262046571/DIVA-15-TOD?appliedFilters=device%253Dall%252Cage%253Dall%252Ccountry%253Dall&discoverPageSessionInfo=105056b1-db67-4769-963c-0d1e7436fd02&gameSetTargetId=203&gameSetTypeId=23&isAd=false&nativeAdData=&numberOfLoadedTiles=53&page=gamesPage&placeId=12262046571&playContext=gamesPage&position=20&sortPos=3&universeId=4319996251
2024-11-02 23:36:55|172177|204292|57.7M+|Not Supported|Not Supported|3/13/2024|11/2/2024|23|N/A|[🤿] Fisch|@WoozyNate|All Ages|16732694052|Trending in Roleplay & Avatar Sim|https://www.roblox.com/games/16732694052/Fisch?appliedFilters=device%253Dall%252Cage%253Dall%252Ccountry%253Dall&discoverPageSessionInfo=105056b1-db67-4769-963c-0d1e7436fd02&gameSetTargetId=203&gameSetTypeId=23&isAd=false&nativeAdData=&numberOfLoadedTiles=53&page=gamesPage&placeId=16732694052&playContext=gamesPage&position=17&sortPos=3&universeId=5750914919
2024-11-02 23:36:59|2686|2574660|1.1B+|Not Supported|Not Supported|10/2/2020|11/2/2024|50|Social|[DISCO DANCE  +10 EMOTES] 🎃 TTD 3|Emotes CO.|All Ages|5771467270|Trending in Roleplay & Avatar Sim|https://www.roblox.com/games/5771467270/DISCO-DANCE-10-EMOTES-TTD-3?appliedFilters=device%253Dall%252Cage%253Dall%252Ccountry%253Dall&discoverPageSessionInfo=105056b1-db67-4769-963c-0d1e7436fd02&gameSetTargetId=203&gameSetTypeId=23&isAd=false&nativeAdData=&numberOfLoadedTiles=53&page=gamesPage&placeId=5771467270&playContext=gamesPage&position=28&sortPos=3&universeId=2047210140
2024-11-02 23:37:04|3465|11191269|333.2M+|Not Supported|Not Supported|8/16/2023|11/2/2024|22|Obby & Platformer|Carry A Friend! (Teamwork Obby)|Picture Pearfect|All Ages|14448662003|Trending in Roleplay & Avatar Sim|https://www.roblox.com/games/14448662003/Carry-A-Friend-Teamwork-Obby?appliedFilters=device%253Dall%252Cage%253Dall%252Ccountry%253Dall&discoverPageSessionInfo=105056b1-db67-4769-963c-0d1e7436fd02&gameSetTargetId=203&gameSetTypeId=23&isAd=false&nativeAdData=&numberOfLoadedTiles=53&page=gamesPage&placeId=14448662003&playContext=gamesPage&position=35&sortPos=3&universeId=4990998060
2024-11-02 23:37:07|2054|128766|42.6M+|Not Supported|Not Supported|11/5/2019|11/2/2024|36|Simulation|[🎃Event] Polish Car Driving|Polish Car Driving  Official Group|All Ages|4299508195|Trending in Roleplay & Avatar Sim|https://www.roblox.com/games/4299508195/Event-Polish-Car-Driving?appliedFilters=device%253Dall%252Cage%253Dall%252Ccountry%253Dall&discoverPageSessionInfo=105056b1-db67-4769-963c-0d1e7436fd02&gameSetTargetId=203&gameSetTypeId=23&isAd=false&nativeAdData=&numberOfLoadedTiles=53&page=gamesPage&placeId=4299508195&playContext=gamesPage&position=34&sortPos=3&universeId=1393178180
2024-11-02 23:37:12|42386|3433165|2.8B+|Not Supported|Not Supported|7/4/2021|11/2/2024|24|Shopping|Catalog Avatar Creator|@ItsMuneeeb|All Ages|7041939546|Trending in Roleplay & Avatar Sim|https://www.roblox.com/games/7041939546/Catalog-Avatar-Creator?appliedFilters=device%253Dall%252Cage%253Dall%252Ccountry%253Dall&discoverPageSessionInfo=105056b1-db67-4769-963c-0d1e7436fd02&gameSetTargetId=203&gameSetTypeId=23&isAd=false&nativeAdData=&numberOfLoadedTiles=53&page=gamesPage&placeId=7041939546&playContext=gamesPage&position=27&sortPos=3&universeId=2711375305
2024-11-02 23:37:16|4393|1744219|442.3M+|Not Supported|Not Supported|2/18/2019|11/1/2024|25|Simulation|[VOID STORM] Fishing Simulator ☂️|Cloud Entertainment|All Ages|2866967438|Trending in Roleplay & Avatar Sim|https://www.roblox.com/games/2866967438/VOID-STORM-Fishing-Simulator?appliedFilters=device%253Dall%252Cage%253Dall%252Ccountry%253Dall&discoverPageSessionInfo=105056b1-db67-4769-963c-0d1e7436fd02&gameSetTargetId=203&gameSetTypeId=23&isAd=false&nativeAdData=&numberOfLoadedTiles=53&page=gamesPage&placeId=2866967438&playContext=gamesPage&position=43&sortPos=3&universeId=1037979853
2024-11-02 23:37:20|3957|441296|252.0M+|Not Supported|Not Supported|9/9/2019|10/30/2024|24|Sports & Racing|Volleyball 4.2|unlimited bolg works|All Ages|3840352284|Trending in Roleplay & Avatar Sim|https://www.roblox.com/games/3840352284/Volleyball-4-2?appliedFilters=device%253Dall%252Cage%253Dall%252Ccountry%253Dall&discoverPageSessionInfo=105056b1-db67-4769-963c-0d1e7436fd02&gameSetTargetId=203&gameSetTypeId=23&isAd=false&nativeAdData=&numberOfLoadedTiles=53&page=gamesPage&placeId=3840352284&playContext=gamesPage&position=49&sortPos=3&universeId=1316421563
2024-11-02 23:37:23|4675|1598441|549.4M+|Not Supported|Not Supported|3/18/2019|10/31/2024|6|Simulation|Cook Burgers|@Sssqd|All Ages|2971329387|Trending in Roleplay & Avatar Sim|https://www.roblox.com/games/2971329387/Cook-Burgers?appliedFilters=device%253Dall%252Cage%253Dall%252Ccountry%253Dall&discoverPageSessionInfo=105056b1-db67-4769-963c-0d1e7436fd02&gameSetTargetId=203&gameSetTypeId=23&isAd=false&nativeAdData=&numberOfLoadedTiles=53&page=gamesPage&placeId=2971329387&playContext=gamesPage&position=40&sortPos=3&universeId=1073273083
2024-11-02 23:37:28|22758|539716|313.1M+|Not Supported|Not Supported|9/12/2018|11/2/2024|10|Sports & Racing|[🎃] NFL Universe Football|NFL Universe Football by Voldex|All Ages|2338325648|Trending in Roleplay & Avatar Sim|https://www.roblox.com/games/2338325648/NFL-Universe-Football?appliedFilters=device%253Dall%252Cage%253Dall%252Ccountry%253Dall&discoverPageSessionInfo=105056b1-db67-4769-963c-0d1e7436fd02&gameSetTargetId=203&gameSetTypeId=23&isAd=false&nativeAdData=&numberOfLoadedTiles=53&page=gamesPage&placeId=2338325648&playContext=gamesPage&position=30&sortPos=3&universeId=184199275
2024-11-02 23:37:35|2451|97681|18.8M+|Not Supported|Not Supported|4/1/2024|10/27/2024|50|Roleplay & Avatar Sim|💿 KOYA DANCE STUDIO|KOYA CREATIVE|All Ages|16962279458|Trending in Roleplay & Avatar Sim|https://www.roblox.com/games/16962279458/KOYA-DANCE-STUDIO?appliedFilters=device%253Dall%252Cage%253Dall%252Ccountry%253Dall&discoverPageSessionInfo=105056b1-db67-4769-963c-0d1e7436fd02&gameSetTargetId=203&gameSetTypeId=23&isAd=false&nativeAdData=&numberOfLoadedTiles=53&page=gamesPage&placeId=16962279458&playContext=gamesPage&position=44&sortPos=3&universeId=5822068820
2024-11-02 23:37:39|4128|39169|85.3M+|Not Supported|Not Supported|2/20/2024|11/2/2024|10|Sports & Racing|Touch Football|Touch Games|All Ages|16447934574|Trending in Roleplay & Avatar Sim|https://www.roblox.com/games/16447934574/Touch-Football?appliedFilters=device%253Dall%252Cage%253Dall%252Ccountry%253Dall&discoverPageSessionInfo=105056b1-db67-4769-963c-0d1e7436fd02&gameSetTargetId=203&gameSetTypeId=23&isAd=false&nativeAdData=&numberOfLoadedTiles=53&page=gamesPage&placeId=16447934574&playContext=gamesPage&position=32&sortPos=3&universeId=5666473198
2024-11-02 23:37:43|5033|278128|158.4M+|Not Supported|Not Supported|2/21/2022|10/30/2024|12|Simulation|Collect All Pets!|@TwoZoos|All Ages|8884433153|Trending in Roleplay & Avatar Sim|https://www.roblox.com/games/8884433153/Collect-All-Pets?appliedFilters=device%253Dall%252Cage%253Dall%252Ccountry%253Dall&discoverPageSessionInfo=105056b1-db67-4769-963c-0d1e7436fd02&gameSetTargetId=203&gameSetTypeId=23&isAd=false&nativeAdData=&numberOfLoadedTiles=53&page=gamesPage&placeId=8884433153&playContext=gamesPage&position=0&sortPos=3&universeId=3359505957
2024-11-02 23:37:47|3393|13883516|715.8M+|Not Supported|Not Supported|2/28/2023|11/1/2024|22|Obby & Platformer|Teamwork Puzzles 2 (Obby)|Pear Pressure|All Ages|12641272458|Trending in Roleplay & Avatar Sim|https://www.roblox.com/games/12641272458/Teamwork-Puzzles-2-Obby?appliedFilters=device%253Dall%252Cage%253Dall%252Ccountry%253Dall&discoverPageSessionInfo=105056b1-db67-4769-963c-0d1e7436fd02&gameSetTargetId=203&gameSetTypeId=23&isAd=false&nativeAdData=&numberOfLoadedTiles=53&page=gamesPage&placeId=12641272458&playContext=gamesPage&position=42&sortPos=3&universeId=4434803478
2024-11-02 23:37:51|8133|2309474|1.0B+|Not Supported|Not Supported|6/28/2017|11/2/2024|25|Roleplay & Avatar Sim|(HALLOWEEN EVENT MAP CHANGES + CARS!) Greenville|Greenville Wisconsin|All Ages|891852901|Trending in Roleplay & Avatar Sim|https://www.roblox.com/games/891852901/HALLOWEEN-EVENT-MAP-CHANGES-CARS-Greenville?appliedFilters=device%253Dall%252Cage%253Dall%252Ccountry%253Dall&discoverPageSessionInfo=105056b1-db67-4769-963c-0d1e7436fd02&gameSetTargetId=203&gameSetTypeId=23&isAd=false&nativeAdData=&numberOfLoadedTiles=53&page=gamesPage&placeId=891852901&playContext=gamesPage&position=50&sortPos=3&universeId=371263894
2024-11-02 23:37:54|4485|906475|433.1M+|Not Supported|Not Supported|3/2/2019|10/27/2024|20|Simulation|Obby Creator|Whirlpool Studio|All Ages|2913303231|Trending in Roleplay & Avatar Sim|https://www.roblox.com/games/2913303231/Obby-Creator?appliedFilters=device%253Dall%252Cage%253Dall%252Ccountry%253Dall&discoverPageSessionInfo=105056b1-db67-4769-963c-0d1e7436fd02&gameSetTargetId=203&gameSetTypeId=23&isAd=false&nativeAdData=&numberOfLoadedTiles=53&page=gamesPage&placeId=2913303231&playContext=gamesPage&position=26&sortPos=3&universeId=1053132402
2024-11-02 23:37:59|3241|6483617|1.5B+|Not Supported|Not Supported|2/19/2017|7/23/2024|8|Action|❓ LUCKY BLOCKS Battlegrounds|@silky_dev|All Ages|662417684|Trending in Roleplay & Avatar Sim|https://www.roblox.com/games/662417684/LUCKY-BLOCKS-Battlegrounds?appliedFilters=device%253Dall%252Cage%253Dall%252Ccountry%253Dall&discoverPageSessionInfo=105056b1-db67-4769-963c-0d1e7436fd02&gameSetTargetId=203&gameSetTypeId=23&isAd=false&nativeAdData=&numberOfLoadedTiles=53&page=gamesPage&placeId=662417684&playContext=gamesPage&position=15&sortPos=3&universeId=279565647
2024-11-02 23:38:03|15233|1213971|543.3M+|Not Supported|Not Supported|8/16/2019|11/2/2024|60|Roleplay & Avatar Sim|Warrior Cats: Ultimate Edition|WarriorCatsRP|All Ages|3663340706|Trending in Roleplay & Avatar Sim|https://www.roblox.com/games/3663340706/Warrior-Cats-Ultimate-Edition?appliedFilters=device%253Dall%252Cage%253Dall%252Ccountry%253Dall&discoverPageSessionInfo=105056b1-db67-4769-963c-0d1e7436fd02&gameSetTargetId=203&gameSetTypeId=23&isAd=false&nativeAdData=&numberOfLoadedTiles=53&page=gamesPage&placeId=3663340706&playContext=gamesPage&position=16&sortPos=3&universeId=1278035280
