Date|Active Users|Favorites|Total Visits|Voice Chat|Camera|Date Created|Last Updated|Server Size|Genre|Title|Creator|Age Recommendation|gameID|Category|URL
2024-11-02 22:13:56|1045|348761|237.6M+|Not Supported|Not Supported|2/7/2021|10/26/2024|80|Social|Salon de Fiestas|@Lweece|All Ages|6358567974|Popular|https://www.roblox.com/games/6358567974/Salon-de-Fiestas?appliedFilters=device%253Dall%252Cage%253Dall%252Ccountry%253Dall&discoverPageSessionInfo=bb519201-ed65-4ffd-aea5-5336781b8d70&gameSetTargetId=203&gameSetTypeId=23&isAd=false&nativeAdData=&numberOfLoadedTiles=53&page=gamesPage&placeId=6358567974&playContext=gamesPage&position=2&sortPos=3&universeId=2355999843
2024-11-02 22:14:01|2237|15579|7.7M+|Not Supported|Not Supported|8/26/2024|10/5/2024|16|Action|Pick A Song|Better Song|All Ages|70771096364385|Popular|https://www.roblox.com/games/70771096364385/Pick-A-Song?appliedFilters=device%253Dall%252Cage%253Dall%252Ccountry%253Dall&discoverPageSessionInfo=bb519201-ed65-4ffd-aea5-5336781b8d70&gameSetTargetId=203&gameSetTypeId=23&isAd=false&nativeAdData=&numberOfLoadedTiles=53&page=gamesPage&placeId=70771096364385&playContext=gamesPage&position=36&sortPos=3&universeId=6470476189
2024-11-02 22:14:05|20784|2438566|2.5B+|Not Supported|Not Supported|7/5/2020|10/31/2024|45|Roleplay & Avatar Sim|Gacha Online 🍭 RP [TRICK OR TREAT 🎃]|@SnowdustDev|All Ages|5289509545|Popular|https://www.roblox.com/games/5289509545/Gacha-Online-RP-TRICK-OR-TREAT?appliedFilters=device%253Dall%252Cage%253Dall%252Ccountry%253Dall&discoverPageSessionInfo=bb519201-ed65-4ffd-aea5-5336781b8d70&gameSetTargetId=203&gameSetTypeId=23&isAd=false&nativeAdData=&numberOfLoadedTiles=53&page=gamesPage&placeId=5289509545&playContext=gamesPage&position=51&sortPos=3&universeId=1852226622
2024-11-02 22:14:09|3106|842974|500.3M+|Not Supported|Not Supported|1/16/2022|11/2/2024|12|Simulation|[UPD] Weapon Fighting Simulator [3x🎃]|Lightning Dragon Studio|All Ages|8554378337|Popular|https://www.roblox.com/games/8554378337/UPD-Weapon-Fighting-Simulator-3x?appliedFilters=device%253Dall%252Cage%253Dall%252Ccountry%253Dall&discoverPageSessionInfo=bb519201-ed65-4ffd-aea5-5336781b8d70&gameSetTargetId=203&gameSetTypeId=23&isAd=false&nativeAdData=&numberOfLoadedTiles=53&page=gamesPage&placeId=8554378337&playContext=gamesPage&position=12&sortPos=3&universeId=3262314006
2024-11-02 22:14:13|4542|1598409|549.4M+|Not Supported|Not Supported|3/18/2019|10/31/2024|6|Simulation|Cook Burgers|@Sssqd|All Ages|2971329387|Popular|https://www.roblox.com/games/2971329387/Cook-Burgers?appliedFilters=device%253Dall%252Cage%253Dall%252Ccountry%253Dall&discoverPageSessionInfo=bb519201-ed65-4ffd-aea5-5336781b8d70&gameSetTargetId=203&gameSetTypeId=23&isAd=false&nativeAdData=&numberOfLoadedTiles=53&page=gamesPage&placeId=2971329387&playContext=gamesPage&position=40&sortPos=3&universeId=1073273083
2024-11-02 22:14:17|3464|13879860|715.8M+|Not Supported|Not Supported|2/28/2023|11/1/2024|22|Obby & Platformer|Teamwork Puzzles 2 (Obby)|Pear Pressure|All Ages|12641272458|Popular|https://www.roblox.com/games/12641272458/Teamwork-Puzzles-2-Obby?appliedFilters=device%253Dall%252Cage%253Dall%252Ccountry%253Dall&discoverPageSessionInfo=bb519201-ed65-4ffd-aea5-5336781b8d70&gameSetTargetId=203&gameSetTypeId=23&isAd=false&nativeAdData=&numberOfLoadedTiles=53&page=gamesPage&placeId=12641272458&playContext=gamesPage&position=42&sortPos=3&universeId=4434803478
2024-11-02 22:14:22|40151|3433009|2.8B+|Not Supported|Not Supported|7/4/2021|11/2/2024|24|Shopping|Catalog Avatar Creator|@ItsMuneeeb|All Ages|7041939546|Popular|https://www.roblox.com/games/7041939546/Catalog-Avatar-Creator?appliedFilters=device%253Dall%252Cage%253Dall%252Ccountry%253Dall&discoverPageSessionInfo=bb519201-ed65-4ffd-aea5-5336781b8d70&gameSetTargetId=203&gameSetTypeId=23&isAd=false&nativeAdData=&numberOfLoadedTiles=53&page=gamesPage&placeId=7041939546&playContext=gamesPage&position=27&sortPos=3&universeId=2711375305
2024-11-02 22:14:26|2983|135364|152.1M+|Not Supported|Not Supported|10/2/2022|5/17/2024|15|Simulation|The Chosen One|@TomazDev|All Ages|11137575513|Popular|https://www.roblox.com/games/11137575513/The-Chosen-One?appliedFilters=device%253Dall%252Cage%253Dall%252Ccountry%253Dall&discoverPageSessionInfo=bb519201-ed65-4ffd-aea5-5336781b8d70&gameSetTargetId=203&gameSetTypeId=23&isAd=false&nativeAdData=&numberOfLoadedTiles=53&page=gamesPage&placeId=11137575513&playContext=gamesPage&position=24&sortPos=3&universeId=3983828495
2024-11-02 22:14:30|4975|611126|113.5M+|Not Supported|Not Supported|5/2/2020|11/1/2024|10|Party & Casual|Regretevator [ ELEVATOR SIMULATOR ]|The Axolotl Sun|All Ages|4972273297|Popular|https://www.roblox.com/games/4972273297/Regretevator-ELEVATOR-SIMULATOR?appliedFilters=device%253Dall%252Cage%253Dall%252Ccountry%253Dall&discoverPageSessionInfo=bb519201-ed65-4ffd-aea5-5336781b8d70&gameSetTargetId=203&gameSetTypeId=23&isAd=false&nativeAdData=&numberOfLoadedTiles=53&page=gamesPage&placeId=4972273297&playContext=gamesPage&position=25&sortPos=3&universeId=1709917610
2024-11-02 22:14:34|2993|6483210|1.5B+|Not Supported|Not Supported|2/19/2017|7/23/2024|8|Action|❓ LUCKY BLOCKS Battlegrounds|@silky_dev|All Ages|662417684|Popular|https://www.roblox.com/games/662417684/LUCKY-BLOCKS-Battlegrounds?appliedFilters=device%253Dall%252Cage%253Dall%252Ccountry%253Dall&discoverPageSessionInfo=bb519201-ed65-4ffd-aea5-5336781b8d70&gameSetTargetId=203&gameSetTypeId=23&isAd=false&nativeAdData=&numberOfLoadedTiles=53&page=gamesPage&placeId=662417684&playContext=gamesPage&position=15&sortPos=3&universeId=279565647
2024-11-02 22:14:38|180928|203461|57.1M+|Not Supported|Not Supported|3/13/2024|11/2/2024|23|N/A|[🤿] Fisch|@WoozyNate|All Ages|16732694052|Popular|https://www.roblox.com/games/16732694052/Fisch?appliedFilters=device%253Dall%252Cage%253Dall%252Ccountry%253Dall&discoverPageSessionInfo=bb519201-ed65-4ffd-aea5-5336781b8d70&gameSetTargetId=203&gameSetTypeId=23&isAd=false&nativeAdData=&numberOfLoadedTiles=53&page=gamesPage&placeId=16732694052&playContext=gamesPage&position=17&sortPos=3&universeId=5750914919
2024-11-02 22:14:42|4473|1744158|442.3M+|Not Supported|Not Supported|2/18/2019|11/1/2024|25|Simulation|[VOID STORM] Fishing Simulator ☂️|Cloud Entertainment|All Ages|2866967438|Popular|https://www.roblox.com/games/2866967438/VOID-STORM-Fishing-Simulator?appliedFilters=device%253Dall%252Cage%253Dall%252Ccountry%253Dall&discoverPageSessionInfo=bb519201-ed65-4ffd-aea5-5336781b8d70&gameSetTargetId=203&gameSetTypeId=23&isAd=false&nativeAdData=&numberOfLoadedTiles=53&page=gamesPage&placeId=2866967438&playContext=gamesPage&position=43&sortPos=3&universeId=1037979853
2024-11-02 22:14:46|23853|679010|1.0B+|Not Supported|Not Supported|2/2/2023|10/28/2024|41|Action|Murderers VS Sheriffs Duels|Red21 Games|All Ages|12355337193|Popular|https://www.roblox.com/games/12355337193/Murderers-VS-Sheriffs-Duels?appliedFilters=device%253Dall%252Cage%253Dall%252Ccountry%253Dall&discoverPageSessionInfo=bb519201-ed65-4ffd-aea5-5336781b8d70&gameSetTargetId=203&gameSetTypeId=23&isAd=false&nativeAdData=&numberOfLoadedTiles=53&page=gamesPage&placeId=12355337193&playContext=gamesPage&position=19&sortPos=3&universeId=4348829796
2024-11-02 22:14:49|4230|532076|144.2M+|Not Supported|Not Supported|1/22/2019|11/1/2024|8|Simulation|Farming and Friends|Dunn Games|All Ages|2772610559|Popular|https://www.roblox.com/games/2772610559/Farming-and-Friends?appliedFilters=device%253Dall%252Cage%253Dall%252Ccountry%253Dall&discoverPageSessionInfo=bb519201-ed65-4ffd-aea5-5336781b8d70&gameSetTargetId=203&gameSetTypeId=23&isAd=false&nativeAdData=&numberOfLoadedTiles=53&page=gamesPage&placeId=2772610559&playContext=gamesPage&position=45&sortPos=3&universeId=1001911915
2024-11-02 22:14:53|4011|39154|85.3M+|Not Supported|Not Supported|2/20/2024|11/2/2024|10|Sports & Racing|Touch Football|Touch Games|All Ages|16447934574|Popular|https://www.roblox.com/games/16447934574/Touch-Football?appliedFilters=device%253Dall%252Cage%253Dall%252Ccountry%253Dall&discoverPageSessionInfo=bb519201-ed65-4ffd-aea5-5336781b8d70&gameSetTargetId=203&gameSetTypeId=23&isAd=false&nativeAdData=&numberOfLoadedTiles=53&page=gamesPage&placeId=16447934574&playContext=gamesPage&position=32&sortPos=3&universeId=5666473198
2024-11-02 22:14:57|4495|906467|433.1M+|Not Supported|Not Supported|3/2/2019|10/27/2024|20|Simulation|Obby Creator|Whirlpool Studio|All Ages|2913303231|Popular|https://www.roblox.com/games/2913303231/Obby-Creator?appliedFilters=device%253Dall%252Cage%253Dall%252Ccountry%253Dall&discoverPageSessionInfo=bb519201-ed65-4ffd-aea5-5336781b8d70&gameSetTargetId=203&gameSetTypeId=23&isAd=false&nativeAdData=&numberOfLoadedTiles=53&page=gamesPage&placeId=2913303231&playContext=gamesPage&position=26&sortPos=3&universeId=1053132402
2024-11-02 22:15:00|9345|10621692|3.1B+|Not Supported|Not Supported|3/29/2008|10/12/2024|30|Survival|Natural Disaster Survival|@Stickmasterluke|All Ages|5336781|Popular|https://www.roblox.com/games/189707/Natural-Disaster-Survival?appliedFilters=device%253Dall%252Cage%253Dall%252Ccountry%253Dall&discoverPageSessionInfo=bb519201-ed65-4ffd-aea5-5336781b8d70&gameSetTargetId=203&gameSetTypeId=23&isAd=false&nativeAdData=&numberOfLoadedTiles=53&page=gamesPage&placeId=189707&playContext=gamesPage&position=39&sortPos=3&universeId=65241
2024-11-02 22:15:05|2403|6898226|2.1B+|Not Supported|Not Supported|7/29/2015|10/29/2024|12|Party & Casual|Epic Minigames [🎃QUEST]|@TypicalType|All Ages|277751860|Popular|https://www.roblox.com/games/277751860/Epic-Minigames-QUEST?appliedFilters=device%253Dall%252Cage%253Dall%252Ccountry%253Dall&discoverPageSessionInfo=bb519201-ed65-4ffd-aea5-5336781b8d70&gameSetTargetId=203&gameSetTypeId=23&isAd=false&nativeAdData=&numberOfLoadedTiles=53&page=gamesPage&placeId=277751860&playContext=gamesPage&position=47&sortPos=3&universeId=110181652
2024-11-02 22:15:09|8794|823044|1.2B+|Not Supported|Not Supported|12/9/2021|11/1/2024|14|Sports & Racing|Football Fusion 2|XSTNS GAMES|All Ages|8204899140|Popular|https://www.roblox.com/games/8204899140/Football-Fusion-2?appliedFilters=device%253Dall%252Cage%253Dall%252Ccountry%253Dall&discoverPageSessionInfo=bb519201-ed65-4ffd-aea5-5336781b8d70&gameSetTargetId=203&gameSetTypeId=23&isAd=false&nativeAdData=&numberOfLoadedTiles=53&page=gamesPage&placeId=8204899140&playContext=gamesPage&position=22&sortPos=3&universeId=3150475059
2024-11-02 22:15:13|7193|2309455|1.0B+|Not Supported|Not Supported|6/28/2017|11/2/2024|25|Roleplay & Avatar Sim|(HALLOWEEN EVENT MAP CHANGES + CARS!) Greenville|Greenville Wisconsin|All Ages|891852901|Popular|https://www.roblox.com/games/891852901/HALLOWEEN-EVENT-MAP-CHANGES-CARS-Greenville?appliedFilters=device%253Dall%252Cage%253Dall%252Ccountry%253Dall&discoverPageSessionInfo=bb519201-ed65-4ffd-aea5-5336781b8d70&gameSetTargetId=203&gameSetTypeId=23&isAd=false&nativeAdData=&numberOfLoadedTiles=53&page=gamesPage&placeId=891852901&playContext=gamesPage&position=50&sortPos=3&universeId=371263894
2024-11-02 22:15:16|7770|1923771|76.3M+|Not Supported|Not Supported|7/5/2024|10/31/2024|15|Obby & Platformer|Chained [2 Player Obby]|1-Day|All Ages|18334179599|Popular|https://www.roblox.com/games/18334179599/Chained-2-Player-Obby?appliedFilters=device%253Dall%252Cage%253Dall%252Ccountry%253Dall&discoverPageSessionInfo=bb519201-ed65-4ffd-aea5-5336781b8d70&gameSetTargetId=203&gameSetTypeId=23&isAd=false&nativeAdData=&numberOfLoadedTiles=53&page=gamesPage&placeId=18334179599&playContext=gamesPage&position=5&sortPos=3&universeId=6215464786
2024-11-02 22:15:20|3511|441270|252.0M+|Not Supported|Not Supported|9/9/2019|10/30/2024|24|Sports & Racing|Volleyball 4.2|unlimited bolg works|All Ages|3840352284|Popular|https://www.roblox.com/games/3840352284/Volleyball-4-2?appliedFilters=device%253Dall%252Cage%253Dall%252Ccountry%253Dall&discoverPageSessionInfo=bb519201-ed65-4ffd-aea5-5336781b8d70&gameSetTargetId=203&gameSetTypeId=23&isAd=false&nativeAdData=&numberOfLoadedTiles=53&page=gamesPage&placeId=3840352284&playContext=gamesPage&position=49&sortPos=3&universeId=1316421563
2024-11-02 22:15:24|5106|278116|158.4M+|Not Supported|Not Supported|2/21/2022|10/30/2024|12|Simulation|Collect All Pets!|@TwoZoos|All Ages|8884433153|Popular|https://www.roblox.com/games/8884433153/Collect-All-Pets?appliedFilters=device%253Dall%252Cage%253Dall%252Ccountry%253Dall&discoverPageSessionInfo=bb519201-ed65-4ffd-aea5-5336781b8d70&gameSetTargetId=203&gameSetTypeId=23&isAd=false&nativeAdData=&numberOfLoadedTiles=53&page=gamesPage&placeId=8884433153&playContext=gamesPage&position=0&sortPos=3&universeId=3359505957
