Date|Active Users|Favorites|Total Visits|Voice Chat|Camera|Date Created|Last Updated|Server Size|Genre|Title|Creator|Age Recommendation|gameID|Category|URL
2024-11-02 23:21:26|8061|268555|223.6M+|Not Supported|Not Supported|4/30/2022|11/1/2024|50|Strategy|2X POINTS CHAPTER II🎃 Tower Defense X: BETA|Tower Defense X|All Ages|9503261072|Trending in Obby & Platformer|https://www.roblox.com/games/9503261072/2X-POINTS-CHAPTER-II-Tower-Defense-X-BETA?appliedFilters=device%253Dall%252Cage%253Dall%252Ccountry%253Dall&discoverPageSessionInfo=221216ff-5cc6-4ba4-868b-9f1250059ffb&gameSetTargetId=204&gameSetTypeId=23&isAd=false&nativeAdData=&numberOfLoadedTiles=50&page=gamesPage&placeId=9503261072&playContext=gamesPage&position=19&sortPos=4&universeId=3541611379
2024-11-02 23:21:34|6834|509488|428.4M+|Not Supported|Not Supported|6/23/2021|10/31/2024|25|Roleplay & Avatar Sim|🎃🍂 Wild Horse Islands|Happy Acres|All Ages|6989310863|Trending in Obby & Platformer|https://www.roblox.com/games/6989310863/Wild-Horse-Islands?appliedFilters=device%253Dall%252Cage%253Dall%252Ccountry%253Dall&discoverPageSessionInfo=221216ff-5cc6-4ba4-868b-9f1250059ffb&gameSetTargetId=204&gameSetTypeId=23&isAd=false&nativeAdData=&numberOfLoadedTiles=50&page=gamesPage&placeId=6989310863&playContext=gamesPage&position=8&sortPos=4&universeId=2682938349
2024-11-02 23:21:37|532|22422|13.4M+|Not Supported|Not Supported|1/26/2022|11/2/2024|14|Simulation|Tower Creator (Beta)|Boring Tower Studio|All Ages|8646026339|Trending in Obby & Platformer|https://www.roblox.com/games/8646026339/Tower-Creator-Beta?appliedFilters=device%253Dall%252Cage%253Dall%252Ccountry%253Dall&discoverPageSessionInfo=221216ff-5cc6-4ba4-868b-9f1250059ffb&gameSetTargetId=204&gameSetTypeId=23&isAd=false&nativeAdData=&numberOfLoadedTiles=50&page=gamesPage&placeId=8646026339&playContext=gamesPage&position=9&sortPos=4&universeId=3289847355
2024-11-02 23:21:43|29006|5957216|2.9B+|Not Supported|Not Supported|3/21/2018|10/29/2024|6|Simulation|Bee Swarm Simulator|@Onett|All Ages|1537690962|Trending in Obby & Platformer|https://www.roblox.com/games/1537690962/Bee-Swarm-Simulator?appliedFilters=device%253Dall%252Cage%253Dall%252Ccountry%253Dall&discoverPageSessionInfo=221216ff-5cc6-4ba4-868b-9f1250059ffb&gameSetTargetId=204&gameSetTypeId=23&isAd=false&nativeAdData=&numberOfLoadedTiles=50&page=gamesPage&placeId=1537690962&playContext=gamesPage&position=20&sortPos=4&universeId=601130232
2024-11-02 23:21:46|1294|15541|1.8M+|Not Supported|Not Supported|1/19/2023|11/2/2024|8|N/A|Refinery Caves 2 🎃|Ziks Dev Team|All Ages|12196278347|Trending in Obby & Platformer|https://www.roblox.com/games/12196278347/Refinery-Caves-2?appliedFilters=device%253Dall%252Cage%253Dall%252Ccountry%253Dall&discoverPageSessionInfo=221216ff-5cc6-4ba4-868b-9f1250059ffb&gameSetTargetId=204&gameSetTypeId=23&isAd=false&nativeAdData=&numberOfLoadedTiles=50&page=gamesPage&placeId=12196278347&playContext=gamesPage&position=22&sortPos=4&universeId=4298676072
2024-11-02 23:21:50|776|94752|19.7M+|Not Supported|Not Supported|9/9/2021|10/31/2024|6|Survival|Piggy: Branched Realities 🎃 [HALLOWEEN]|Branched Realities|All Ages|7434630138|Trending in Obby & Platformer|https://www.roblox.com/games/7434630138/Piggy-Branched-Realities-HALLOWEEN?appliedFilters=device%253Dall%252Cage%253Dall%252Ccountry%253Dall&discoverPageSessionInfo=221216ff-5cc6-4ba4-868b-9f1250059ffb&gameSetTargetId=204&gameSetTypeId=23&isAd=false&nativeAdData=&numberOfLoadedTiles=50&page=gamesPage&placeId=7434630138&playContext=gamesPage&position=23&sortPos=4&universeId=2896526455
2024-11-02 23:21:54|62|20240|7.4M+|Not Supported|Not Supported|7/2/2016|11/1/2024|200|Entertainment|Aircraft Development|Pilot Training Club|All Ages|447213146|Trending in Obby & Platformer|https://www.roblox.com/games/447213146/Aircraft-Development?appliedFilters=device%253Dall%252Cage%253Dall%252Ccountry%253Dall&discoverPageSessionInfo=221216ff-5cc6-4ba4-868b-9f1250059ffb&gameSetTargetId=204&gameSetTypeId=23&isAd=false&nativeAdData=&numberOfLoadedTiles=50&page=gamesPage&placeId=447213146&playContext=gamesPage&position=21&sortPos=4&universeId=170935858
2024-11-02 23:21:57|484|45715|22.3M+|Not Supported|Not Supported|4/27/2021|11/2/2024|30|Sports & Racing|Beyond Volleyball League|Beyond Volleyball League|All Ages|6734275465|Trending in Obby & Platformer|https://www.roblox.com/games/6734275465/Beyond-Volleyball-League?appliedFilters=device%253Dall%252Cage%253Dall%252Ccountry%253Dall&discoverPageSessionInfo=221216ff-5cc6-4ba4-868b-9f1250059ffb&gameSetTargetId=204&gameSetTypeId=23&isAd=false&nativeAdData=&numberOfLoadedTiles=50&page=gamesPage&placeId=6734275465&playContext=gamesPage&position=40&sortPos=4&universeId=2547466305
2024-11-02 23:22:01|353|8775|3.5M+|Not Supported|Not Supported|10/22/2023|10/30/2024|50|Sports & Racing|[BETA] Freestyle Football|Promise Development|All Ages|15133985014|Trending in Obby & Platformer|https://www.roblox.com/games/15133985014/BETA-Freestyle-Football?appliedFilters=device%253Dall%252Cage%253Dall%252Ccountry%253Dall&discoverPageSessionInfo=221216ff-5cc6-4ba4-868b-9f1250059ffb&gameSetTargetId=204&gameSetTypeId=23&isAd=false&nativeAdData=&numberOfLoadedTiles=50&page=gamesPage&placeId=15133985014&playContext=gamesPage&position=33&sortPos=4&universeId=5215846239
2024-11-02 23:22:05|29075|282517|509.6M+|Not Supported|Not Supported|3/25/2023|11/1/2024|26|Strategy|[👻EVENT + ⚔️CLAN WARS + x4] Anime Last Stand|[B:S] ALS Team|All Ages|12886143095|Trending in Obby & Platformer|https://www.roblox.com/games/12886143095/EVENT-CLAN-WARS-x4-Anime-Last-Stand?appliedFilters=device%253Dall%252Cage%253Dall%252Ccountry%253Dall&discoverPageSessionInfo=221216ff-5cc6-4ba4-868b-9f1250059ffb&gameSetTargetId=204&gameSetTypeId=23&isAd=false&nativeAdData=&numberOfLoadedTiles=50&page=gamesPage&placeId=12886143095&playContext=gamesPage&position=0&sortPos=4&universeId=4509896324
